ticker,net_volume,net_notional_usd,total_pnl,num_adl_events,avg_price
PAXG,5.380000000000001,19803.3262,1942.405266,5,3826.3599999999997
USUAL,664877.9,17493.874378999997,52318.738807,8,0.02599375
SCR,121605.40000000001,17117.273494999998,-22181.965141,22,0.14210318181818182
PROVE,31819.0,14926.61109,10312.73126,11,0.46911
IMX,51725.1,14740.892064,22395.877544000003,15,0.31141066666666667
RSR,5353630.0,13047.939267000002,20566.466863,7,0.0024732857142857148
GOAT,247948.0,10043.877584000002,-46526.140994,19,0.040508
XAI,501942.3,9844.775217,10963.444833,14,0.020032142857142856
GMT,427200.0,9397.5968,6558.255896,16,0.023718
TRB,705.59,9049.179689999999,-14112.17331,26,12.817269230769229
MANTA,108147.6,8420.423952,8502.984105,24,0.07449916666666666
kLUNC,349460.0,7536.1049,9579.394008000001,8,0.021565
ALT,653798.0,7178.309714000001,-19614.297026,26,0.011530807692307691
DYM,109960.8,6646.63593,16689.695467,7,0.05734285714285715
LAYER,60091.0,6044.351350000001,23854.110374,12,0.11049833333333332
PEOPLE,680582.0,5952.269330000001,3619.8085499999997,18,0.008723333333333335
ZETA,73480.7,5830.748878999999,-4893.582515,15,0.08266599999999999
YGG,52097.0,5168.617531,1557.577087,2,0.0984995
GALA,758054.0,3128.563586,9115.518316,3,0.004272333333333334
ANIME,467282.0,3032.66018,5486.279888,9,0.00649
CELO,11352.0,2287.54152,2249.605697,4,0.20151
DYDX,13345.4,2209.521638,6034.407193,8,0.171965
MAV,104734.0,1923.641791,3157.449487,15,0.018073600000000002
ACE,7227.91,1817.819365,26.599045,2,0.2515
RUNE,2252.4,1680.67489,1894.253755,7,0.73147
TURBO,1137929.0,1585.2384780000002,2330.580709,4,0.00145875
GAS,786.2,1453.2655,920.6692580000001,5,1.85218
HYPER,410.0,50.02,-63.351475,3,0.122
NOT,115000.0,49.335,130.525,1,0.000429
KAITO,24.0,19.3704,7.8648,1,0.8071
BLAST,10396.0,15.219744,17.1534,1,0.001464
NEO,3.48,12.79944,1.199208,1,3.678
TST,103.0,1.624928,0.091876,1,0.015776
