coin,adl_notional,closed_pnl,leverage_realtime,pnl_percent,is_negative_equity,num_users,num_events
MOVE,37259.453038,58996.962716,0.1768385873771828,144.03810521460042,0,16,20
NEAR,2264869.2005800004,1168712.699924,7.123818390340949,51.6914527577404,6,70,88
NEO,12.79944,1.199208,0.01711005531467511,9.369222403480148,0,1,1
NIL,72000.2505,23395.988277,0.18451866851219015,40.09497308607274,0,24,24
NOT,49.335,130.525,0.005125725498300522,264.56876456876455,0,1,1
NXPC,35628.44364,24959.848953,0.344151799246741,152.82328019362592,0,20,21
OM,105651.757421,208824.76152,1.1250050455086604,210.110094875308,1,18,22
ONDO,1867530.54755,2427286.31179,169.5786470951074,149.69832847034596,9,104,116
OP,135346.226969,168115.07683,157.9652436128587,121.6832071513471,16,33,48
ORDI,67581.133511,119246.08866,28.666659994758906,261.5199862513377,2,25,32
PAXG,19803.3262,1942.405266,1.291865431059176,6.353417802299142,0,5,5
PENDLE,780369.8486,830620.302756,0.15069259059068071,114.62395262181028,0,50,63
PENGU,10586141.522231,9165467.206806,264.77097439817476,97.17511501614283,11,286,372
PEOPLE,5952.269330000001,3619.8085499999997,0.04050966483271005,183.52440768427155,3,17,18
PNUT,54250.393670000005,103546.384209,0.05952719055817802,223.2723323675507,0,12,16
POL,79833.51589,40041.167854,0.6116487877665758,60.4736446869435,3,35,35
POPCAT,1836397.227669,3467169.566371,5.660402298463965,127.40464872565627,9,138,150
PROMPT,255701.227073,275556.783041,0.06604969454514689,64.02735737287456,3,43,47
PROVE,14926.61109,10312.73126,0.2049769875288809,80.7684183395637,0,11,11
PUMP,57293422.024491,31523223.181210004,12.107069409399726,76.61337813098999,16,1836,1868
PURR,3003248.98367,2294574.55621,75.46668644779992,71.48962732718343,8,162,168
PYTH,27470.287779,59678.467724,0.0568020585534407,265.4589006217782,0,18,21
RENDER,257773.53597099998,606215.481308,0.00803899417328722,222.68115884515893,1,937,941
RESOLV,106572.01792000001,382817.315201,0.15398068019926064,372.364840099448,1,26,26
RSR,13047.939267000002,20566.466863,0.0517653617795293,162.78180582079364,0,5,7
RUNE,1680.67489,1894.253755,0.30937411058108394,118.36001606241359,0,5,7
S,1516855.4022650002,2119923.324595,17.77420952909607,138.29458468820272,5,110,113
SAND,84976.62687000001,92967.903899,0.10132299739380826,103.13697798081066,1,29,32
SCR,17117.273494999998,-22181.965141,93.74505648835719,-145.87207345532354,3,20,22
SEI,1313203.6759849999,1463158.3851480002,82.95734719413474,105.83125247310937,3,107,126
SKY,178183.028376,101657.180115,0.20607809799902405,43.52347700595565,0,12,15
SNX,2112986.310677,848520.384159,1386.1704979022159,45.61246365476792,5,69,73
SOL,276200960.5825,69136517.65033199,2866.9285515697816,23.324370949832897,79,2860,3031
SOPH,225827.917176,103677.54819,0.13475450602433592,66.66963402959264,0,23,24
SPX,1482423.380212,1372601.7001119999,181.84735765479152,59.56595838274263,3,112,129
STBL,1797895.29966,4270393.410046,0.10487153964384952,226.36474986467792,1,63,70
STRK,2227459.3053860003,1232741.772406,0.1610922334593124,68.15074739421705,3,126,143
STX,227644.459827,142142.988529,31.27324641851816,112.4497408917031,3,76,80
SUI,13366242.425725,9885986.86666,18.79813764368631,84.45841208891112,19,328,442
SUPER,77922.06165,109367.483186,0.11645829994381664,144.8583827187906,1,33,33
SUSHI,38669.487654,55790.137885,0.09917936143965259,176.71788535810958,0,16,17
SYRUP,360704.47511999996,274663.21901299997,62.73763468302837,61.911384328709225,1,23,24
TAO,8664278.5153,5847181.718608,0.160225658999895,56.48962023941113,8,157,167
TIA,91794.06842,260314.39005699998,7.385390461058879,605.097703431268,8,55,65
TON,2426982.60915,3151725.833325,0.6494493605455595,115.24827487012838,4,92,98
TRB,9049.179689999999,-14112.17331,0.07043021010707122,-158.6489251813196,6,25,26
TRUMP,3466111.39955,5709361.201572999,371.1565593432721,214.85178568089017,13,236,255
TRX,1565228.32158,138580.33683199988,41.668897560981,7.03941133803055,3,41,43
TST,1.624928,0.091876,0.002805683726681609,-39.75659229208928,1,1,1
TURBO,1585.2384780000002,2330.580709,0.09439603142622668,162.50415731633942,0,3,4
UNI,7996968.17786,6671322.462718001,0.11833946366099642,86.31007487616735,7,147,172
USUAL,17493.874378999997,52318.738807,0.16178599196541832,860.0921153019731,0,5,8
VINE,566720.439439,733951.041301,0.1105448988123827,114.68397127908173,4,57,64
VIRTUAL,827168.2810579999,1233822.31666,102.61135898813482,157.91140222189006,6,108,120
VVV,261148.280914,391165.134802,0.482559633932693,128.5720134747865,0,9,10
W,1626948.857814,704380.5969819999,0.108969723164001,72.83572813299016,4,106,110
WIF,2101173.08768,3554105.70257,0.33700229042596924,132.8321122431138,4,191,201
WLD,4146542.4085540003,8188021.683735,183.94843938809157,77.97305682631126,6,213,232
WLFI,2466181.055991,2824109.409985,0.2342077582993337,151.82688350751945,4,81,84
XAI,9844.775217,10963.444833,0.09652551183946091,243.3471745727764,1,13,14
XLM,413641.16369,239474.244458,0.1975286612131567,57.60536840670722,2,41,47
XPL,65849039.1375,119388212.763551,47.91024830569717,135.45034795491117,31,2873,2984
XRP,31422285.059499998,13342514.061068002,503.88577296880675,40.34517024839438,46,404,607
YGG,5168.617531,1557.577087,273.4676413158957,8.235919421887601,1,2,2
ZEC,18910182.6066,2537940.010689,30.449502997030603,10.06991241352325,29,381,400
ZEN,207004.527349,101656.205956,0.7212825206204561,47.83925615413474,2,41,43
ZEREBRO,416179.972753,345271.992126,0.13453247016387326,114.55972193142672,2,60,64
ZETA,5830.748878999999,-4893.582515,0.09159330740922113,-56.674222228002314,4,15,15
ZK,760392.175087,307972.351477,0.10724177367527946,80.06122772382665,7,90,114
ZORA,1161727.57037,461345.821409,1.130186986549706,36.73075363268704,9,172,180
ZRO,4292021.85828,3476996.6925580003,0.1267157092099552,49.53819592336292,3,154,166
kBONK,5537900.664542,12360885.391773999,2.0434915247390935,146.91528937322408,4,119,144
kFLOKI,67190.271572,95473.225636,0.11509950333016915,115.31554243169326,0,19,23
kLUNC,7536.1049,9579.394008000001,8.670528944902085,146.20739624391373,2,7,8
kNEIRO,32835.591395,50951.560201,0.021697073756502015,196.31140334206373,0,10,11
kPEPE,4047752.1501599997,6929617.99816,65.51027908028455,137.6275332861312,7,135,166
kSHIB,79633.43028,51458.597268,0.2058298084147966,67.22898544813047,0,12,15
